Run 0
Generacion 0;Mean Highest Diff 0;Mean Solved Score 0;Mean Entropy 0;Mean Steps 0;Highest Diff 0;Solved Score 0;Entropy 0;Steps 0;Fecha 0;TiempoDif 0;TiempoDif2 0;TiempoTotal 0;
0.0;0.738;8.078;42.104095;NaN;4.0;148.0;51.96925;1.3225807;Thu Jul 02 21:15:53 CEST 2009;0;0;0;
1.0;2.088;34.858;48.80937;NaN;4.0;148.0;51.96925;1.3225807;Thu Jul 02 21:16:05 CEST 2009;12000;12000;12000;
2.0;2.517;63.94;50.897404;NaN;4.0;196.0;59.480637;1.5;Thu Jul 02 21:16:11 CEST 2009;6000;-6000;18000;
3.0;3.593;88.64;48.153004;NaN;4.0;468.0;54.420273;3.1734693;Thu Jul 02 21:16:20 CEST 2009;9000;3000;27000;
4.0;3.746;126.332;49.892937;NaN;6.0;588.0;55.95444;3.3963964;Thu Jul 02 21:16:34 CEST 2009;14000;5000;41000;
5.0;3.813;155.782;50.765278;NaN;6.0;588.0;56.63895;3.3963964;Thu Jul 02 21:16:51 CEST 2009;17000;3000;58000;
6.0;3.964;234.1;52.70148;NaN;6.0;588.0;56.64351;3.3963964;Thu Jul 02 21:17:07 CEST 2009;16000;-1000;74000;
7.0;3.993;319.304;52.276512;NaN;6.0;604.0;56.10934;3.419643;Thu Jul 02 21:17:24 CEST 2009;17000;1000;91000;
8.0;4.517;406.268;52.334824;NaN;6.0;604.0;56.10934;3.419643;Thu Jul 02 21:17:42 CEST 2009;18000;1000;109000;
9.0;4.934;425.958;52.982155;NaN;6.0;604.0;56.735764;3.419643;Thu Jul 02 21:18:08 CEST 2009;26000;8000;135000;
10.0;5.085;447.16;53.545994;NaN;6.0;624.0;56.145786;3.4414415;Thu Jul 02 21:18:35 CEST 2009;27000;1000;162000;
11.0;5.165;460.868;53.952137;NaN;6.0;632.0;56.320045;3.4414415;Thu Jul 02 21:19:02 CEST 2009;27000;0;189000;
12.0;5.045;445.786;53.514565;NaN;6.0;632.0;56.320045;3.4414415;Thu Jul 02 21:19:29 CEST 2009;27000;0;216000;
13.0;5.179;471.8;54.082645;NaN;6.0;656.0;56.832573;3.4070797;Thu Jul 02 21:19:57 CEST 2009;28000;1000;244000;
14.0;5.158;474.196;54.073654;NaN;6.0;656.0;57.17084;3.4070797;Thu Jul 02 21:20:28 CEST 2009;31000;3000;275000;
15.0;5.205;495.772;54.24238;2.9357584;6.0;676.0;57.677677;3.3983052;Thu Jul 02 21:20:59 CEST 2009;31000;0;306000;
16.0;5.224;508.648;54.304523;NaN;6.0;688.0;57.753986;3.4666667;Thu Jul 02 21:21:36 CEST 2009;37000;6000;343000;
17.0;5.25;523.176;54.777504;NaN;6.0;688.0;57.8041;3.4666667;Thu Jul 02 21:22:11 CEST 2009;35000;-2000;378000;
18.0;5.28;534.464;54.99934;NaN;6.0;688.0;57.8041;3.4666667;Thu Jul 02 21:22:47 CEST 2009;36000;1000;414000;
19.0;5.366;551.686;55.37274;NaN;6.0;688.0;57.8041;3.4666667;Thu Jul 02 21:23:26 CEST 2009;39000;3000;453000;
20.0;5.387;555.544;55.48987;NaN;6.0;704.0;57.914577;3.4876032;Thu Jul 02 21:24:02 CEST 2009;36000;-3000;489000;
21.0;5.363;554.172;55.58306;NaN;6.0;704.0;57.914577;3.4876032;Thu Jul 02 21:24:40 CEST 2009;38000;2000;527000;
22.0;5.223;522.632;54.961414;NaN;6.0;704.0;57.914577;3.4876032;Thu Jul 02 21:25:19 CEST 2009;39000;1000;566000;
23.0;5.35;548.386;55.67779;NaN;6.0;704.0;57.914577;3.4876032;Thu Jul 02 21:25:58 CEST 2009;39000;0;605000;
24.0;5.397;563.794;55.75466;NaN;6.0;704.0;57.914577;3.4876032;Thu Jul 02 21:26:40 CEST 2009;42000;3000;647000;
25.0;5.473;587.878;56.312397;NaN;6.0;704.0;57.928246;3.4876032;Thu Jul 02 21:27:22 CEST 2009;42000;0;689000;
26.0;5.569;605.126;56.412067;NaN;6.0;704.0;57.928246;3.4876032;Thu Jul 02 21:28:04 CEST 2009;42000;0;731000;
27.0;5.53;602.282;56.331352;NaN;6.0;704.0;57.928246;3.4876032;Thu Jul 02 21:28:47 CEST 2009;43000;1000;774000;
28.0;5.484;588.494;56.187275;NaN;6.0;704.0;58.006832;3.4876032;Thu Jul 02 21:29:33 CEST 2009;46000;3000;820000;
29.0;5.513;596.774;56.288937;NaN;6.0;704.0;58.006832;3.4876032;Thu Jul 02 21:30:20 CEST 2009;47000;1000;867000;
30.0;5.578;611.638;56.579586;NaN;6.0;704.0;58.006832;3.4876032;Thu Jul 02 21:31:08 CEST 2009;48000;1000;915000;
31.0;5.573;613.566;56.637672;NaN;6.0;704.0;58.006832;3.4876032;Thu Jul 02 21:32:01 CEST 2009;53000;5000;968000;
32.0;5.6;618.032;56.693836;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:32:58 CEST 2009;57000;4000;1025000;
33.0;5.608;624.946;56.797493;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:33:52 CEST 2009;54000;-3000;1079000;
34.0;5.604;622.168;56.724865;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:34:49 CEST 2009;57000;3000;1136000;
35.0;5.638;624.634;56.6649;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:35:43 CEST 2009;54000;-3000;1190000;
36.0;5.59;618.92;56.71396;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:36:39 CEST 2009;56000;2000;1246000;
37.0;5.638;624.064;56.686783;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:37:34 CEST 2009;55000;-1000;1301000;
38.0;5.629;627.25;56.755238;NaN;6.0;704.0;58.018223;3.4876032;Thu Jul 02 21:38:34 CEST 2009;60000;5000;1361000;
39.0;5.607;619.184;56.752003;NaN;6.0;704.0;58.267654;3.4876032;Thu Jul 02 21:39:33 CEST 2009;59000;-1000;1420000;
40.0;5.614;619.278;56.681488;NaN;6.0;704.0;58.267654;3.4876032;Thu Jul 02 21:40:34 CEST 2009;61000;2000;1481000;
41.0;5.608;618.116;56.65048;NaN;6.0;704.0;58.31777;3.4876032;Thu Jul 02 21:41:32 CEST 2009;58000;-3000;1539000;
42.0;5.553;610.472;56.526924;NaN;6.0;704.0;58.31777;3.4876032;Thu Jul 02 21:42:31 CEST 2009;59000;1000;1598000;
43.0;5.573;610.068;56.68388;NaN;6.0;712.0;58.33941;3.4634147;Thu Jul 02 21:43:30 CEST 2009;59000;0;1657000;
44.0;5.644;624.604;57.060658;NaN;6.0;712.0;58.33941;3.4634147;Thu Jul 02 21:44:27 CEST 2009;57000;-2000;1714000;
45.0;5.684;629.738;57.052452;NaN;6.0;712.0;58.33941;3.4634147;Thu Jul 02 21:45:26 CEST 2009;59000;2000;1773000;
46.0;5.575;610.644;56.72993;NaN;6.0;712.0;58.33941;3.4634147;Thu Jul 02 21:46:24 CEST 2009;58000;-1000;1831000;
47.0;5.516;600.4;56.594913;NaN;6.0;712.0;58.36674;3.4634147;Thu Jul 02 21:47:11 CEST 2009;47000;-11000;1878000;
48.0;5.567;611.266;56.82559;3.1400595;6.0;712.0;58.36674;3.4634147;Thu Jul 02 21:47:58 CEST 2009;47000;0;1925000;
49.0;5.538;604.802;56.687824;3.1176178;6.0;712.0;58.683372;3.4634147;Thu Jul 02 21:48:48 CEST 2009;50000;3000;1975000;
50.0;5.473;595.43;56.595985;NaN;6.0;712.0;58.683372;3.4634147;Thu Jul 02 21:49:45 CEST 2009;57000;7000;2032000;
Run 1
Generacion 1;Mean Highest Diff 1;Mean Solved Score 1;Mean Entropy 1;Mean Steps 1;Highest Diff 1;Solved Score 1;Entropy 1;Steps 1;Fecha 1;TiempoDif 1;TiempoDif2 1;TiempoTotal 1;
0.0;0.663;7.468;41.74308;NaN;2.0;90.0;48.09795;0.875;Sat Jul 04 11:50:40 CEST 2009;0;0;0;
1.0;1.913;32.0;48.220142;NaN;2.0;90.0;48.09795;0.875;Sat Jul 04 11:50:55 CEST 2009;15000;15000;15000;
2.0;1.996;56.958;51.512344;NaN;3.0;128.0;48.168564;1.6969697;Sat Jul 04 11:51:08 CEST 2009;13000;-2000;28000;
3.0;2.004;65.164;50.614075;NaN;4.0;232.0;80.14351;1.6041666;Sat Jul 04 11:51:30 CEST 2009;22000;9000;50000;
4.0;2.072;80.772;49.09193;NaN;5.0;488.0;64.340546;2.7666667;Sat Jul 04 11:52:33 CEST 2009;63000;41000;113000;
5.0;2.457;104.51;49.78031;NaN;5.0;488.0;64.340546;2.7666667;Sat Jul 04 11:54:06 CEST 2009;93000;30000;206000;
